id,name,category,genre,threads,threads_confirmed,other_sns,followers,claimed_income,income_tier,monetization,style,credibility,hype_flag,prominence,sources
1,nicolala♪(推し活資金note),A. 教材・ノウハウ販売型,Threads×楽天アフィリエイト（脱・稼げない）,不明,不明,"Tips(nico_lala), note(nico_note_)",不明,0→月5万円突破の実践ロードマップ(本人公表),④月1〜5万(初級レンジ),Tips『実践者の収益化バイブル』販売、note集客,『やり方はわかったのに稼げない人』向けの原因分析型,複数プラットフォームで一貫発信。目標値ベース、中程度,,4,https://note.com/nico_note_/n/n8bb814580aed | https://tips.jp/u/nico_lala/a/JR9tVCY1
2,あざらちママ🦭 / アフィリエイトの人,A. 教材・ノウハウ販売型,Threads×楽天アフィリエイト(主婦・副業),@azarachi_mama（推定）,推定,"note(@osaku_note), Brain(azarachi_mama)","Threads 5,000フォロワー(専用検証アカ・30日で988万閲覧, 本人公表)","月50万円以上(楽天アフィのみ・本人公表), 初月は7投稿で5万円",②月15〜50万(要検証),Brain/note有料教材『Threads×楽天アフィリエイトの教科書』(600部超と主張),顔出し不要・投稿だけで収益化を主軸に体系化した教科書型,Brain平均4.9/19件レビュー、600部超と主張。月50万は誇大の可能性,要注意(誇大の可能性),4,https://brain-market.com/u/azarachi_mama/a/b0UDN0EjMgoTZsNWa0JXY | https://note.com/osaku_note/n/n462a73838eb7
3,たあこママ【楽天アフィリで初月3万越え】,A. 教材・ノウハウ販売型,楽天アフィリエイト×Threads(主婦),@taako_mama_diary,確認済,Threads、楽天ROOM、Instagram(推定),7ヶ月で2.6万フォロワー(Threads・自己申告),初月3万円超、現在月40万円超(自己申告),②月15〜50万(要検証),note記事「初月3万円達成のやり方公開」,使ってよかった物を全アカウント連携で紹介,実Threads垢は確認。収益額は自販note内の自己申告,,3,https://note.com/noropipipi/n/n849245ac5071 | https://www.threads.com/@taako_mama_diary
4,カピパラおじさん｜アフィリエイトの人,A. 教材・ノウハウ販売型,Threads×楽天アフィリエイト教材,@oji_to_moji,確認済,note(@oji_to_moji),Threads 約1.6万フォロワー(1ヶ月で達成・本人公表),1ヶ月で20万円／『売上670万円』とも（自己申告）,①誇大・要検証(月100万超〜/累計高額),Brain『Threads×楽天アフィリエイトの攻略本』販売,「副業始めるならThreadsアフィリエイト一択」啓発型,Threadsハンドル確認済で信頼度中〜高。『売上670万円』は誇大の可能性,要注意(誇大の可能性),3,https://note.com/oji_to_moji/n/n250221bbc97a | https://www.threads.com/@oji_to_moji | https://www.threads.com/@oji_to_moji/post/DP7xhVUEix4/
5,tamama15,A. 教材・ノウハウ販売型,Threads×楽天アフィリエイト完全攻略マニュアル,不明,不明,Ameba公式ブログ(tamama1027)、Tips/Brain(tamama15)、Instagram、Threads,不明（ママブロガーとして著名）,最高総累計月収280万円超、0→1達成率ほぼ100%（自己申告）,①誇大・要検証(月100万超〜/累計高額),Tips教材『完全攻略マニュアル（全15章＋豪華特典）』販売,全15章の網羅型、ChatGPT自動化・アルゴリズム攻略,販売500部以上と主張。累計月収280万は検証不可、誇大の可能性,要注意(誇大の可能性),3,https://tips.jp/u/tamama15/a/IkWPbX8F
6,おかゆちゃん,A. 教材・ノウハウ販売型,Threads×楽天アフィリエイト（実践編）,@okayuchan_r00（推定）,推定,Brain(okayuchan_r00),『フォロワー少なくてもOK』と訴求,『リンク貼るだけで月5万!?』『初日から収益発生』,④月1〜5万(初級レンジ),Brain有料商材(完全ガイド実践編),フォロワー少なくてもOK・バズ不要を強調,本人公表のみ・検証不可。『月5万!?』は誇張の可能性,要注意(誇大の可能性),3,https://brain-market.com/u/okayuchan_r00/a/b3EzM2IjMgoTZsNWa0JXY
7,にじママ,A. 教材・ノウハウ販売型,Threads×楽天アフィ(副業初心者),不明,不明,note(@ppu_3),フォロワー0から開始と自称,『最初の収益』を最短で(小額・本人公表),⑤目標値/少額・実額不明,note記事「最初の収益を最短で生む実践ガイド」,フォロワー0でも売れるプロフィール/リンク設計,金額提示なし、初報酬発生の主張のみ,,3,https://note.com/ppu_3/n/n809d2a91bbe8
8,ネネ｜楽天アフィ×Threads,B. Threads実践・発信型,楽天アフィリエイト×Threads,@chih.ironote,確認済,note(記事に集約・URL不明),不明,"2週間で1万円, 3日目で初収益初月5桁(本人公表)",④月1〜5万(初級レンジ),Threads→note誘導(実践まとめ),Threads投稿で実績を提示しnoteへ誘導する導線型,本人公表のみ・検証不可。額は小さめで比較的現実的,,2,https://www.threads.com/@chih.ironote/post/DVDMwAmkidR | https://www.threads.com/@chih.ironote/post/DVDMwAmkidR/
9,ARALEちゃん,A. 教材・ノウハウ販売型,Threads×楽天アフィリエイト＋投稿専用GPTs,不明,不明,Brain(schan_1),不明,不明,不明/非公表,Brain『徹底解説＆投稿専用GPTs』販売（教材＋GPTsセット）,投稿自動生成GPTsをセットにしたツール訴求型,GPTs付きで差別化。収益実績の明示なし,,2,https://brain-market.com/u/schan_1/a/bygzN1IjMgoTZsNWa0JXY
10,AlaBee,A. 教材・ノウハウ販売型,Threads×ChatGPT×楽天アフィリエイト,不明,不明,Brain(alabee),不明,『月5万』（教材タイトルの目標値）,④月1〜5万(初級レンジ),Brain『【月5万】Threads×ChatGPT×楽天アフィリ完全ガイド』販売,AI（ChatGPT）活用・テンプレ配布型,実績の具体的記述は乏しい。目標値としての月5万,,2,https://brain-market.com/u/alabee/a/b4kDN0IjMgoTZsNWa0JXY
11,Haru脱サラした男(フォロバ100),A. 教材・ノウハウ販売型,楽天×Threads副業,不明,不明,note(@haru_note_sub),不明（フォロバ100）,初心者が月20万稼げた(本人公表),②月15〜50万(要検証),有料note(攻略法),『稼げた全プロセス』を初心者目線で公開,本人公表のみ・検証不可。月20万は誇張の可能性,,2,https://note.com/haru_note_sub/n/nd24633e639c2
12,Suu｜月3万つくる発信術,A. 教材・ノウハウ販売型,子育て/日用品(ズボラママ系),不明,不明,note(@suu0808),不明,月3万円(本人公表),④月1〜5万(初級レンジ),note有料記事(月3万つくる発信術),『ズボラでもできた』低負荷・月3万リアル路線,本人公表のみ・検証不可。額は控えめで比較的現実的,,2,https://note.com/suu0808/n/n5c323378b936
13,ricoco-sns,A. 教材・ノウハウ販売型,楽天アフィリエイト×Threads完全ガイド,不明,不明,Tips(ricoco-sns),不明,不明,不明/非公表,Tips有料商材(ゼロから始める完全ガイド),アカウント設計〜アフィ投稿文まで網羅する教材型,教材内容は網羅的。収益実績明示なし,,2,https://tips.jp/u/ricoco-sns/a/threads-affi
14,ぐでまま,A. 教材・ノウハウ販売型,楽天アフィ超入門(Threads),不明,不明,note(@gudemama_note),不明,外食費を生み出す規模(小額・本人公表),⑤目標値/少額・実額不明,有料note(超入門・コピペ×AI時短),『つぶやくだけで外食費』と小さな成功を訴求,少額・等身大訴求で誇大度は低め,要注意(誇大の可能性),2,https://note.com/gudemama_note/n/n0675f6b222b7
15,さよ,A. 教材・ノウハウ販売型,Threads×楽天アフィ(低フォロワー),不明,不明,note(sayo_8211),「フォロワー100人でも売れる」訴求,不明,不明/非公表,note有料記事,少フォロワーでも売れる「たった1つのコツ」型,note発信者。ハンドル未確認,,2,https://note.com/sayo_8211/n/n918ba9bc12d0
16,しゅふさん,A. 教材・ノウハウ販売型,主婦のThreads×アフィ,不明,不明,note(@syuhu_san),不明,不明,不明/非公表,有料/無料note(完全ロードマップ),『怪しくない』主婦でもできたを打ち出す安心訴求型,本人公表のみ・検証不可,,2,https://note.com/syuhu_san/n/n097ffad660c2
