month,milestone,revenue_net_base_jpy,lean_cost_jpy,lean_cash_jpy,cum_cash_jpy
2026-07,M0 基盤・A開始・C旗艦立上,0,12000,-12000,-12000
2026-08,M1 C積み上げ・Aデータ蓄積,0,2500,-2500,-14500
2026-09,M2 C15-20本・ASP審査,0,2500,-2500,-17000
2026-10,M3 B3プライステスト開始,5000,4000,1000,-16000
2026-11,M4 季節微増,9000,4000,5000,-11000
2026-12,M5 B3安定化,14000,4000,10000,-1000
2027-01,M6 SEO複利立上・C収益初発生,18000,4000,14000,13000
2027-02,M7 C漸増,22000,4000,18000,31000
2027-03,M8 B1母数接近,26000,4000,22000,53000
2027-04,M9 B2投入(一時),30000,4000,26000,79000
2027-05,M10 C加速,34000,4000,30000,109000
2027-06,M11 柱別ROI検証,39000,4000,35000,144000
2027-07,M12 12ヶ月レビュー,43000,4000,39000,183000
