month,milestone,c_net_jpy,b3_net_jpy,b2_net_jpy,revenue_net_total_jpy,cost_jpy
2026-07,M0 基盤・規約確認・A開始・C旗艦立上,0,0,0,0,65000
2026-08,M1 C積み上げ・Aデータ蓄積,0,0,0,0,42000
2026-09,M2 C15-20本・ASP審査・B3価格テスト準備,0,0,0,0,38000
2026-10,M3 B3プライステスト開始(薄いリスト),0,5000,0,5000,35000
2026-11,M4 季節微増(初年度ピーク捕捉不可前提),0,9000,0,9000,35000
2026-12,M5 B3安定化(5-6本),0,14000,0,14000,35000
2027-01,M6 SEO複利立上・C収益初発生,6000,12000,0,18000,33000
2027-02,M7 C漸増・依存度レビュー,9000,13000,0,22000,33000
2027-03,M8 B1母数100-300接近・ファネル確認,12000,14000,0,26000,34000
2027-04,M9 B2投入(初月スパイク・一時),15000,12000,3000,30000,37000
2027-05,M10 C加速・B2は新規流入依存でフラット化,19000,14000,1000,34000,34000
2027-06,M11 柱別ROI検証(想定C>B3),23000,15000,1000,39000,34000
2027-07,M12 12ヶ月レビュー・資源集中判断,27000,15000,1000,43000,34000
